acq_id,registration_datetime,acquisition_datetime,data_ecosystem,instrument,instrument_model,modalities_in_study,operator,data_source,sample_id,sample_type,session_id,primary_kind,primary_file_name,original_name,file_format,file_size_mb,file_count,canonical_path,checksum_present,extended_metadata_present,project_hint,ingest_config,notes
ACQ-20240227-XMRI-001,2026-03-10T10:12:39Z,2024-02-27T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.21,cardiac MRI study,,,ACQ-20240227-XMRI-001.zip,LEONE_1.21.zip,.zip,695.0,4,/raw/DICOM/2024/2024-02/ACQ-20240227-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240530-XMRI-001,2026-03-10T10:14:50Z,2024-05-30T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.22,cardiac MRI study,,,ACQ-20240530-XMRI-001.zip,LEONE_1.22.zip,.zip,832.8,4,/raw/DICOM/2024/2024-05/ACQ-20240530-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240718-XMRI-001,2026-03-10T10:17:14Z,2024-07-18T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.23,cardiac MRI study,,,ACQ-20240718-XMRI-001.zip,LEONE_1.23.zip,.zip,893.9,4,/raw/DICOM/2024/2024-07/ACQ-20240718-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20250121-XMRI-001,2026-03-10T10:20:16Z,2025-01-21T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_1.24,cardiac MRI study,,,ACQ-20250121-XMRI-001.zip,LEONE_1.24.zip,.zip,1238.1,4,/raw/DICOM/2025/2025-01/ACQ-20250121-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20230207-XMRI-001,2026-03-10T10:22:44Z,2023-02-07T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.05,cardiac MRI study,,,ACQ-20230207-XMRI-001.zip,LEONE_2.05.zip,.zip,1013.9,4,/raw/DICOM/2023/2023-02/ACQ-20230207-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20230314-XMRI-001,2026-03-10T10:25:08Z,2023-03-14T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.07,cardiac MRI study,,,ACQ-20230314-XMRI-001.zip,LEONE_2.07.zip,.zip,1022.2,4,/raw/DICOM/2023/2023-03/ACQ-20230314-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20230925-XMRI-001,2026-03-10T10:27:30Z,2023-09-25T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.10,cardiac MRI study,,,ACQ-20230925-XMRI-001.zip,LEONE_2.10.zip,.zip,962.1,4,/raw/DICOM/2023/2023-09/ACQ-20230925-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20231130-XMRI-001,2026-03-10T10:28:39Z,2023-11-30T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.11,cardiac MRI study,,,ACQ-20231130-XMRI-001.zip,LEONE_2.11.zip,.zip,442.8,4,/raw/DICOM/2023/2023-11/ACQ-20231130-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20231212-XMRI-001,2026-03-10T10:30:40Z,2023-12-12T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.12,cardiac MRI study,,,ACQ-20231212-XMRI-001.zip,LEONE_2.12.zip,.zip,753.1,4,/raw/DICOM/2023/2023-12/ACQ-20231212-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240124-XMRI-001,2026-03-10T10:31:52Z,2024-01-24T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.14,cardiac MRI study,,,ACQ-20240124-XMRI-001.zip,LEONE_2.14.zip,.zip,461.4,4,/raw/DICOM/2024/2024-01/ACQ-20240124-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20240514-XMRI-001,2026-03-10T10:34:20Z,2024-05-14T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_2.16,cardiac MRI study,,,ACQ-20240514-XMRI-001.zip,LEONE_2.16.zip,.zip,1033.4,4,/raw/DICOM/2024/2024-05/ACQ-20240514-XMRI-001/,Y,Y,PROJ-0001,,
