acq_id,original_name,canonical_path
ACQ-20190227-XMRI-001,HPIC15.rar,/raw/DICOM/2019/2019-02/ACQ-20190227-XMRI-001/
ACQ-20190314-XMRI-001,HPIC16.rar,/raw/DICOM/2019/2019-03/ACQ-20190314-XMRI-001/
ACQ-20190320-XMRI-001,HPIC17.rar,/raw/DICOM/2019/2019-03/ACQ-20190320-XMRI-001/
ACQ-20190508-XMRI-001,HPIC20.rar,/raw/DICOM/2019/2019-05/ACQ-20190508-XMRI-001/
ACQ-20190529-XMRI-001,HPIC21.rar,/raw/DICOM/2019/2019-05/ACQ-20190529-XMRI-001/
ACQ-20190807-XMRI-001,HPIC23.rar,/raw/DICOM/2019/2019-08/ACQ-20190807-XMRI-001/
ACQ-20191002-XMRI-001,HPIC24.rar,/raw/DICOM/2019/2019-10/ACQ-20191002-XMRI-001/
ACQ-20191023-XMRI-001,HPIC25.zip,/raw/DICOM/2019/2019-10/ACQ-20191023-XMRI-001/
ACQ-20191023-XMRI-002,HPIC26.zip,/raw/DICOM/2019/2019-10/ACQ-20191023-XMRI-002/
ACQ-20191213-XMRI-001,HPIC28.zip,/raw/DICOM/2019/2019-12/ACQ-20191213-XMRI-001/
ACQ-20191218-XMRI-001,HPIC29.rar,/raw/DICOM/2019/2019-12/ACQ-20191218-XMRI-001/
ACQ-20200205-XMRI-001,HPIC31.rar,/raw/DICOM/2020/2020-02/ACQ-20200205-XMRI-001/
ACQ-20200212-XMRI-001,HPIC32.rar,/raw/DICOM/2020/2020-02/ACQ-20200212-XMRI-001/
ACQ-20200219-XMRI-001,HPIC33.rar,/raw/DICOM/2020/2020-02/ACQ-20200219-XMRI-001/
ACQ-20200226-XMRI-001,HPIC34.rar,/raw/DICOM/2020/2020-02/ACQ-20200226-XMRI-001/
ACQ-20200304-XMRI-001,HPIC35.rar,/raw/DICOM/2020/2020-03/ACQ-20200304-XMRI-001/
ACQ-20200702-XMRI-001,HPIC37 S63090.rar,/raw/DICOM/2020/2020-07/ACQ-20200702-XMRI-001/
ACQ-20200723-XMRI-001,HPIC38 S63270.rar,/raw/DICOM/2020/2020-07/ACQ-20200723-XMRI-001/
ACQ-20200902-XMRI-001,HPIC39 S63091.rar,/raw/DICOM/2020/2020-09/ACQ-20200902-XMRI-001/
ACQ-20200903-XMRI-001,HPIC40 S63100.rar,/raw/DICOM/2020/2020-09/ACQ-20200903-XMRI-001/
ACQ-20201029-XMRI-001,HPIC41 S63320.rar,/raw/DICOM/2020/2020-10/ACQ-20201029-XMRI-001/
ACQ-20201221-XMRI-001,HPIC42 S63250.rar,/raw/DICOM/2020/2020-12/ACQ-20201221-XMRI-001/
ACQ-20210203-XMRI-001,HPIC43 S66250.rar,/raw/DICOM/2021/2021-02/ACQ-20210203-XMRI-001/
ACQ-20210311-XMRI-001,HPIC44 S66320.rar,/raw/DICOM/2021/2021-03/ACQ-20210311-XMRI-001/
ACQ-20210422-XMRI-001,HPIC46 S66410.rar,/raw/DICOM/2021/2021-04/ACQ-20210422-XMRI-001/
ACQ-20210429-XMRI-001,HPIC47 S66470.rar,/raw/DICOM/2021/2021-04/ACQ-20210429-XMRI-001/
ACQ-20210601-XMRI-001,HPIC48 S66230.rar,/raw/DICOM/2021/2021-06/ACQ-20210601-XMRI-001/
ACQ-20260506-ZWSI-001,MFB_MBC_0423_ID13B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-001/
ACQ-20260506-ZWSI-002,MFB_MBC_0423_ID14B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-002/
ACQ-20260506-ZWSI-003,MFB_MBC_0423_ID15B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-003/
ACQ-20260506-ZWSI-004,MFB_MBC_0423_ID16B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-004/
ACQ-20260506-ZWSI-005,MFB_MBC_0423_ID29B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-005/
ACQ-20260506-ZWSI-006,MFB_MBC_0423_ID30B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-006/
ACQ-20260506-ZWSI-007,MFB_MBC_0423_ID31B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-007/
ACQ-20260506-ZWSI-008,MFB_MBC_0423_ID32B_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-008/
ACQ-20260506-ZWSI-009,MFB_MBC_0424_ID21H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-009/
ACQ-20260506-ZWSI-010,MFB_MBC_0424_ID25H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-010/
ACQ-20260506-ZWSI-011,MFB_MBC_0424_ID29H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-011/
ACQ-20260506-ZWSI-012,MFB_MBC_0424_ID30H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-012/
ACQ-20260506-ZWSI-013,MFB_MBC_0424_ID31H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-013/
ACQ-20260506-ZWSI-014,MFB_MBC_0424_ID37H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-014/
ACQ-20260506-ZWSI-015,MFB_MBC_0424_ID41H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-015/
ACQ-20260506-ZWSI-016,MFB_MBC_0424_ID43H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-016/
ACQ-20260506-ZWSI-017,MFB_MBC_0525_ID25H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-017/
ACQ-20260506-ZWSI-018,MFB_MBC_0525_ID26H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-018/
ACQ-20260506-ZWSI-019,MFB_MBC_0525_ID27H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-019/
ACQ-20260506-ZWSI-020,MFB_MBC_0525_ID31H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-020/
ACQ-20260506-ZWSI-021,MFB_MBC_0525_ID32H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-021/
ACQ-20260506-ZWSI-022,MFB_MBC_0525_ID36H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-022/
ACQ-20260506-ZWSI-023,MFB_MBC_0525_ID38H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-023/
ACQ-20260506-ZWSI-024,MFB_MBC_0525_ID39H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-024/
ACQ-20260506-ZWSI-025,MFB_MBC_0525_ID42H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-025/
ACQ-20260506-ZWSI-026,MFB_MBC_0525_ID44H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-026/
ACQ-20260506-ZWSI-027,MFB_MBC_0525_ID45H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-027/
ACQ-20260506-ZWSI-028,MFB_MBC_0525_ID46H_WGA_10x.czi,/raw/MICROSCOPY/2026/2026-05/ACQ-20260506-ZWSI-028/
ACQ-20250107-CELL-001,HLF_colageno_10x_CS-vacio_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-001/
ACQ-20250107-CELL-002,HLF_colageno_10x_CS-vacio_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-002/
ACQ-20250107-CELL-003,HLF_colageno_10x_CS-vacio_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-003/
ACQ-20250107-CELL-004,HLF_colageno_10x_CS-vacio_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-004/
ACQ-20250107-CELL-005,HLF_colageno_10x_CS-vacio_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-005/
ACQ-20250107-CELL-006,HLF_colageno_10x_CS-vacio_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-006/
ACQ-20250107-CELL-007,HLF_colageno_10x_CS-vacio_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-007/
ACQ-20250107-CELL-008,HLF_colageno_10x_CS-vacio_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-008/
ACQ-20250107-CELL-009,HLF_colageno_10x_CS-vacio_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-009/
ACQ-20250107-CELL-010,HLF_colageno_10x_CS-vacio_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-010/
ACQ-20250107-CELL-011,HLF_colageno_10x_PF_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-011/
ACQ-20250107-CELL-012,HLF_colageno_10x_PF_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-012/
ACQ-20250107-CELL-013,HLF_colageno_10x_PF_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-013/
ACQ-20250107-CELL-014,HLF_colageno_10x_PF_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-014/
ACQ-20250107-CELL-015,HLF_colageno_10x_PF_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-015/
ACQ-20250107-CELL-016,HLF_colageno_10x_PF_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-016/
ACQ-20250107-CELL-017,HLF_colageno_10x_PF_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-017/
ACQ-20250107-CELL-018,HLF_colageno_10x_PF_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-018/
ACQ-20250107-CELL-019,HLF_colageno_10x_PF_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-019/
ACQ-20250107-CELL-020,HLF_colageno_10x_PF_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-020/
ACQ-20250107-CELL-021,HLF_colageno_10x_control_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-021/
ACQ-20250107-CELL-022,HLF_colageno_10x_control_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-022/
